title,artist,nationality,gender,artist_birth_date,artist_death_date,artwork_begin_date,artwork_end_date,moma_department
Dress MacLeod from Tartan Sets,Sarah Charlesworth,American,Female,1947,2013,1986,1986,Prints & Illustrated Books
"Duplicate of plate from folio 11 verso (supplementary suite, plate 4) from ARDICIA",Pablo Palazuelo,Spanish,Male,1916,2007,1978,1978,Prints & Illustrated Books
Tailpiece (page 55) from SAGESSE,Maurice Denis,French,Male,1870,1943,1889,1911,Prints & Illustrated Books
"Headpiece (page 129) from LIVRET DE FOLASTRIES, À JANOT PARISIEN",Aristide Maillol,French,Male,1861,1944,1927,1940,Prints & Illustrated Books
97 rue du Bac,Eugène Atget,French,Male,1857,1927,1903,1903,Photography
Pictorial ornament (folio 11) from WOODCUTS,Antonio Frasconi,American,Male,1919,2013,1957,1957,Prints & Illustrated Books
Rue de l'Hôtel-de-Ville,Eugène Atget,French,Male,1857,1927,1924,1924,Photography
Los Angeles Airport,Garry Winogrand,American,Male,1928,1984,1978,1983,Photography
Why Defy from Disasters of Peace,Diane Victor,South African,Female,1964,,2001,2001,Prints & Illustrated Books
STILL WATER AND FISH,David Brown Milne,Canadian,Male,1882,1953,1941,1941,Prints & Illustrated Books
In-text plate (folio 11) from LA MÉTROMANIE,Jean Dubuffet,French,Male,1901,1985,1949,1950,Prints & Illustrated Books
Black Bathroom,Jim Dine,American,Male,1935,,1963,1963,Prints & Illustrated Books
In-text plate (page 108) from LYSISTRATA,František Kupka,Czech,Male,1871,1957,1908,1911,Prints & Illustrated Books
Transcendence. Designs for the Ballet,Franklin Chenault Watkins,American,Male,1894,1972,1934,1934,Drawings
Untitled,Christopher Wool,American,Male,1955,,1997,1997,Prints & Illustrated Books
Isadora Duncan,Abraham Walkowitz,American,Male,1878,1965,1931,1933,Drawings
L'Avenir de la Propriété,Pierre Alechinsky,Belgian,Male,1927,,1972,1972,Prints & Illustrated Books
Arundel Castle from Black Series I,Frank Stella,American,Male,1936,,1967,1967,Prints & Illustrated Books
"Block fragments from the Samuel Freeman House, Los Angeles, CA",Frank Lloyd Wright,American,Male,1867,1959,1923,1924,Architecture & Design
Plate (folio 35) from ACORDE,Vicente Rojo,Spanish,Male,1932,,1979,1979,Prints & Illustrated Books
"Wolf House, Gubin, Poland (Third floor plan)",Ludwig Mies van der Rohe,American,Male,1886,1969,1925,1927,Architecture & Design
"SA. Sovremennaia Arkhitektura (CA. Contemporary Architecture), no. 5",Varvara Stepanova,Russian,Female,1894,1958,1929,1929,Prints & Illustrated Books
Untitled,Richard Serra,American,Male,1938,,1972,1972,Drawings
Research on the Origin,Robert Filliou,French,Male,1926,1987,1974,1974,Prints & Illustrated Books
Plate (folio 17) from KAFKA,Roger Chancel,French,Male,1898,1976,1957,1957,Prints & Illustrated Books
Tailpiece (page 35) from SAINTE MONIQUE,Pierre Bonnard,French,Male,1867,1947,1920,1930,Prints & Illustrated Books
Bowl,Jacqueline Poncelet,British,Female,1947,,1974,1974,Architecture & Design
Tailpiece (folio 42 verso) from LES AMOURS,Émile Bernard,French,Male,1868,1941,1915,1915,Prints & Illustrated Books
Tuileries (vase),Eugène Atget,French,Male,1857,1927,1912,1912,Photography
Plate 23 (folio 25) from MALELADE,Georg Baselitz,German,Male,1938,,1988,1990,Prints & Illustrated Books
"Duplicate of plate from folio 104 (supplementary suite, plate 95) from LA VILLE",Frans Masereel,Belgian,Male,1889,1972,1925,1925,Prints & Illustrated Books
Untitled,Unknown,,Other/Unknown,,,1925,1925,Photography
"Plate (folio 28) from Six Geometric Figures and All Their Combinations, Volume I",Sol LeWitt,American,Male,1928,2007,1980,1980,Prints & Illustrated Books
Chamber Music,James Tenney,American,Male,1934,2006,1964,1964,Prints & Illustrated Books
Plate (following folio V) from NOTES,Claes Oldenburg,American,Male,1929,,1968,1968,Prints & Illustrated Books
Chocolate Object (Schokolade-Objekt),Dieter Roth,Swiss,Male,1930,1998,1969,1969,Prints & Illustrated Books
Mandry Ven'iamyna Tret'oho,Moisei Fradkin,,Male,,,1934,1934,Prints & Illustrated Books
Dust jacket front (duplicate of folder front) from 2 POEMAS,Antonio Frasconi,American,Male,1919,2013,1953,1953,Prints & Illustrated Books
Fun City from Fun City,Richard Lindner,American,Male,1901,1978,1971,1971,Prints & Illustrated Books
Angels from Witebsk,Wojciech Prazmowski,Polish,Male,1949,,1988,1988,Photography
Tailpiece (page 62) from FABLES,Thomas Bewick,British,Male,1753,1828,1818,1818,Prints & Illustrated Books
Untitled,Spencer Sweeney,American,Male,1973,,2002,2002,Drawings
Variety,Batiste Madalena,American,Male,1902,1988,1926,1926,Film
Stars and Disasters (Astres et Désastres),Pierre Alechinsky,Belgian,Male,1927,,1969,1969,Prints & Illustrated Books
"U.S. Embassy Building, Tokyo Project (Aerial perspective)",Frank Lloyd Wright,American,Male,1867,1959,1914,1914,Architecture & Design
"Tuesday, Dec. 18, 1979",On Kawara,Japanese,Male,1933,,1979,1979,Painting & Sculpture
"Bank by Andy Warhol. Gaudy Savings by RCA Color Scanner. Pretty as a Pigture, Huh?",Andy Warhol,American,Male,1928,1987,1968,1968,Architecture & Design
"Pittsburgh, Pennsylvania",Lee Friedlander,American,Male,1934,,1979,1979,Photography
Double page plate (between pages 96 and 97) from UBU ROI,Joan Miró,Spanish,Male,1893,1983,1966,1966,Prints & Illustrated Books
"Unity Temple, Oak Park, IL",Frank Lloyd Wright,American,Male,1867,1959,1904,1904,Architecture & Design
PORTRAITS DE CHOPIN,Marc Chagall,French,Male,1887,1985,1949,1949,Prints & Illustrated Books
The Razorback Bunch (Etching III),Robert Rauschenberg,American,Male,1925,2008,1981,1981,Prints & Illustrated Books
Identity Transfer from Program One: Aspen Projects,Dennis Oppenheim,American,Male,1938,2011,1970,1970,Media and Performance Art
Lipstick (Ascending) on Caterpillar Track,Claes Oldenburg,American,Male,1929,,1969,1969,Prints & Illustrated Books
"""1 PERSON/1 PLACE"" from the portfolio DETAILS FROM THE EXCAVATION OF WOOSTER STREET",Richard Nonas,American,Male,1936,,1972,1972,Prints & Illustrated Books
Bagatelle,Eugène Atget,French,Male,1857,1927,1923,1925,Photography
The Barbie Doll Drawings #27,Adrian Piper,American,Female,1948,,1967,1967,Drawings
"Gericke House, project, Berlin-Wannsee, Germany, Landscape model",Ludwig Mies van der Rohe,American,Male,1886,1969,1932,1932,Architecture & Design
Plate (page 209) from LES PETITES FLEURS,Émile Bernard,French,Male,1868,1941,1928,1928,Prints & Illustrated Books
"Mechanical for Ticket for Fluxorchestra at Carnegie Hall, Carnegie Recital Hall, New York, September 25, 1965",George Maciunas,American,Male,1931,1978,1965,1965,Prints & Illustrated Books
Untitled,Louise Bourgeois,American,Female,1911,2010,2003,2003,Prints & Illustrated Books
"Banco Pinto & Sotto Mayor, Oliveira de Azeméis, Portugal, Plan sketch",Álvaro Siza,Portuguese,Male,1933,,1971,1974,Architecture & Design
Overcast Dusk-Glassy Lake from Loon Lake: Eleven Drawings,Ellen Phelan,American,Female,1943,,1983,1983,Drawings
"Golf Club Project, Krefeld, Germany",Ludwig Mies van der Rohe,American,Male,1886,1969,1930,1930,Architecture & Design
Stamp Box,Josef Hoffmann,Austrian,Male,1870,1956,1946,1946,Architecture & Design
"Library, Villeurbanne, France, Interior rear elevation",Mario Botta,Swiss,Male,1943,,1984,1984,Architecture & Design
Studio II 1982 from Architecture Models 1980-2006 (Architektur Modelle 1980-2006),Thomas Schütte,German,Male,1954,,2006,2006,Prints & Illustrated Books
"Looking out from Black Hawks Cave, Wisconsin Dells",Henry Hamilton Bennett,American,Male,1843,1908,1885,1885,Photography
"Apollon Musagete, design for Scenery",Pavel Tchelitchew,American,Male,1898,1957,1942,1942,Drawings
LA RUE DE LA PARCHEMINERIE APRÈS DÉMOLITION,Eugène Atget,French,Male,1857,1927,1913,1913,Photography
Scroll Down and Keep Scrolling,Fiona Banner,British,Female,1966,,2015,2015,Prints & Illustrated Books
"""Untitled""",Felix Gonzalez-Torres,American,Male,1957,1996,1987,1987,Painting & Sculpture
Plate (page 89) from L'ÉVANGILE,Léo Marchutz,French,Male,1903,1976,1947,1949,Prints & Illustrated Books
Pleasures and Terrors of Levitation 50,Aaron Siskind,American,Male,1903,1991,1965,1965,Photography
Tailpiece (page 44) from FABLES,Thomas Bewick,British,Male,1753,1828,1818,1818,Prints & Illustrated Books
"KOTSCHEI (plate, folio 7) from DEM FEUERVOGEL",Helmut A. P. Grieshaber,German,Male,1909,1981,1961,1961,Prints & Illustrated Books
RUES LANNEAU ET DES CARMES,Eugène Atget,French,Male,1857,1927,1925,1925,Photography
Plate (page 160) from RÉINCARNATIONS DU PÈRE UBU,Georges Rouault,French,Male,1871,1958,1916,1932,Prints & Illustrated Books
"Landscape Triptych No. 1, State IV/IV",Fred Williams,Australian,Male,1927,1982,1962,1962,Prints & Illustrated Books
"Mr. Bennett, Vermont",Paul Strand,American,Male,1890,1976,1944,1944,Photography
Portrait of Alice (frontispiece) from Alice in Wonderland,Marie Laurencin,French,Female,1883,1956,1930,1930,Prints & Illustrated Books
C.N.T. from the portfolio Color Guard Etcetera,Juan Hidalgo,Spanish,Male,1927,,1991,1991,Prints & Illustrated Books
